id,item_group_id,title,description,availability,condition,price,link,image_link,brand
UK_B0BZPGD42Y_7130ae50b0,UK_B0BZPGD42Y,(UK)🇬🇧英国水平仪,"Keyword: SlopeMaster ProGreen Reader
Store: Amazon
remark: Need Text Review
Style Name: Poker Chip
Colour: Black",in stock,new,0.00 GBP,https://amzn.to/3MvoT7K,https://m.media-amazon.com/images/I/61kxAEHfpDL._AC_SX425_.jpg,Amazon
UK_B0D3V33VCR_7606793d44,UK_B0D3V33VCR,(UK)🇬🇧英国牙刷负面,"Keyword: philips sonicare toothbrush heads
Store: WanErUKshop
remark: need 1 star bad review",in stock,new,0.00 GBP,https://amzn.to/4tbJy1y,"https://m.media-amazon.com/images/I/71R34IhlCfL._AC_SX679_PIbundle-8,TopRight,0,0_SH20_.jpg",WanErUKshop
UK_B0DSVV991W_ae74e1726d,UK_B0DSVV991W,(UK)🇬🇧英国牙刷负面,"Keyword: philips sonicare toothbrush heads
Store: shenzhenrixunkeji
remark: need 1 star bad review",in stock,new,0.00 GBP,https://amzn.to/4rfrIc4,https://m.media-amazon.com/images/I/71ZZrQT9STL._AC_SX679_.jpg,shenzhenrixunkeji
UK_B0DXBHY3MS_e9999f6a8a,UK_B0DXBHY3MS,(UK)🇬🇧英国遥控器,"Keyword: BFT Garage Door Remote
Store: yunianShiYingHe
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/3R51ZGI,https://m.media-amazon.com/images/I/51vMyOX5GrL._AC_SL1500_.jpg,yunianShiYingHe
UK_B0DZ6WLFFQ_dbca086c9b,UK_B0DZ6WLFFQ,(UK)🇬🇧英国扳手图评,"Keyword: 12 in 1 Faucet Wrench Tool
Store: XU GUOBIN shop
remark: Need Image Review",in stock,new,0.00 GBP,https://amzn.to/3LVgytQ,https://m.media-amazon.com/images/I/71sI+DQ6jGL._AC_SX569_.jpg,XU GUOBIN shop
UK_B0F2HMFQY3_9139ca3c46,UK_B0F2HMFQY3,(UK)🇬🇧英国水族箱温度计,"Keyword: aquarium thermometer
Store: bopiao
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/4dXvVfu,https://m.media-amazon.com/images/I/61a9URII4EL._SL1500_.jpg,bopiao
UK_B0F42TCN84_f2b1954341,UK_B0F42TCN84,(UK)🇬🇧英国泳帽,"Keyword: Silicone Swimming Caps
Store: yangjiuMaoDong
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/3Sm5ARc,https://m.media-amazon.com/images/I/51BngGmPOzL._AC_SL1500_.jpg,yangjiuMaoDong
UK_B0F4MM4LWW_0a126a7eba,UK_B0F4MM4LWW,(UK)🇬🇧英国替换刀头,"Keyword: Replacement Nose Hair Trimmer Head for One Blade Shaver
Store: TAN YILIN SHOP
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/4kmng9q,https://m.media-amazon.com/images/I/61kvNJEDJOL._AC_SX425_.jpg,TAN YILIN SHOP
UK_B0F4XLPN75_ba20acd88b,UK_B0F4XLPN75,(UK)🇬🇧英国蛋糕鲜花,"Keyword: dried flowers for cakes
Store: leidongyonglei
remark: Need Text Review",in stock,new,0.00 GBP,https://www.amazon.co.uk/dp/B0F4XLPN75,https://m.media-amazon.com/images/I/71qkHgKfbmL._AC_SX679_.jpg,leidongyonglei
UK_B0F6TTZ1WH_0cdec6ede9,UK_B0F6TTZ1WH,(UK)🇬🇧英国乳膏图评,"Keyword: hydrocortisone cream
Store: xiuluXiaoLongYu
remark: Need Image Review",in stock,new,0.00 GBP,https://amzn.to/49mZK75,"https://m.media-amazon.com/images/I/61ZEtsw5JcL._AC_SX425_PIbundle-2,TopRight,0,0_SH20_.jpg",xiuluXiaoLongYu
UK_B0F99BD4TL_24ce1f5c65,UK_B0F99BD4TL,(UK)🇬🇧英国床支撑腿,"Keyword: Bed Support Legs
Store: BBA TRANSPORT
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/3PK8UEr,https://m.media-amazon.com/images/I/61IjSF8AKJL._AC_SL1500_.jpg,BBA TRANSPORT
UK_B0FCS8D467_7d701598b7,UK_B0FCS8D467,(UK)🇬🇧英国负面佣金,"Keyword: https://amzn.to/4edGHhQ
Store: X-SENSE-UK
remark: Need a one-star negative review and a return.",in stock,new,0.00 GBP,https://amzn.to/4edGHhQ,https://m.media-amazon.com/images/I/51+caRwcP+L._AC_SL1200_.jpg,X-SENSE-UK
UK_B0FFYSGVSZ_bd9637e432,UK_B0FFYSGVSZ,(UK)🇬🇧英国香薰,"Keyword: Pernimon Dog Calming Diffuser 2-in-1 Soothing
Store: baopingfushi
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/4qeWsct,https://m.media-amazon.com/images/I/71NZ0siTcuL._AC_SX569_.jpg,baopingfushi
UK_B0FFZ2TN3W_d0a2bfb77a,UK_B0FFZ2TN3W,(UK)🇬🇧英国狗狗镇静咬嚼物,"Keyword: Pernimon Calming Chews for dog
Store: baopingfushi
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/3YkMoTI,https://m.media-amazon.com/images/I/81g4i+qTUsL._AC_SX679_.jpg,baopingfushi
UK_B0FFZ2Z59R_166cfaf0f5,UK_B0FFZ2Z59R,(UK)🇬🇧英国狗狗镇静咬嚼物,"Keyword: Pernimon Calming Chews for dog
Store: baopingfushi
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/45ClZ7E,https://m.media-amazon.com/images/I/81g4i+qTUsL._AC_SX679_.jpg,baopingfushi
UK_B0FGPGD9YQ_26672d7191,UK_B0FGPGD9YQ,(UK)🇬🇧英国镇静项圈,"Keyword: pernimon Calming Collar for Dogs Natural Pheromones
Store: baopingfushi
remark: Need Text Review",in stock,new,0.00 GBP,https://www.amazon.co.uk/Calming-Collar-Natural-Pheromones-Adjustable/dp/B0FGPGD9YQ,https://m.media-amazon.com/images/I/51Z43QJQW2L._AC_SL1500_.jpg,baopingfushi
UK_B0FGPPQ72Q_62019037e7,UK_B0FGPPQ72Q,(UK)🇬🇧英国 狗狗安抚项圈,"Keyword: pernimon calming collar for dogs
Store: baopingfushi
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/3YkMf2C,https://m.media-amazon.com/images/I/51Z43QJQW2L._AC_SX679_.jpg,baopingfushi
UK_B0FGPSN6Z1_95051abca6,UK_B0FGPSN6Z1,(UK)🇬🇧英国益生菌图评,"Keyword: Pernimon Probiotics for Dogs
Store: baopingfushi
remark: Need Image Review",in stock,new,0.00 GBP,https://amzn.to/49Ffkw7,https://m.media-amazon.com/images/I/713Moxm1B-L._AC_SX679_.jpg,baopingfushi
UK_B0FGPYGZDG_cfb6eb1487,UK_B0FGPYGZDG,(UK)🇬🇧英国狗狗益生菌图评,"Keyword: Pernimon Probiotics for Dogs
Store: baopingfushi
remark: Need Image Review",in stock,new,0.00 GBP,https://amzn.to/4k1MGJc,https://m.media-amazon.com/images/I/71135ltEPHL._AC_SX679_.jpg,baopingfushi
UK_B0FGQ13VJQ_c4d52e4c8c,UK_B0FGQ13VJQ,(UK)🇬🇧英国益生菌,"Keyword: Pernimon Probiotics for Dogs
Store: baopingfushi
remark: Need Text Review",in stock,new,0.00 GBP,https://amzn.to/45PmoUE,https://m.media-amazon.com/images/I/713Moxm1B-L._AC_SL1500_.jpg,baopingfushi
